Unnamed: 0,Language,Party,Post,Username,prediction
2334,pa,BJP,Politician,AmitShah,2
2497,en,SP,Politician,imashumalik,0
2752,pa,AAP,Political Leader,BhagwantMann,0
2719,pa,AAP,Political Leader,BhagwantMann,0
2755,pa,AAP,Political Leader,BhagwantMann,2
2627,pa,AAP,Political Leader,BhagwantMann,0
2335,pa,BJP,Politician,AmitShah,2
2499,en,SP,Politician,imashumalik,0
2371,hi,Apna Dal,Politician,AnupriyaSPatel,0
2463,other,AIMIM,Political Leader,asadowaisi,1
2243,hi,SP,Political Leader,yadavakhilesh,1
2591,pa,AAP,Political Leader,BhagwantMann,2
2369,hi,Apna Dal,Politician,AnupriyaSPatel,0
2462,en,AIMIM,Political Leader,asadowaisi,0
2239,hi,SP,Political Leader,yadavakhilesh,2
2593,pa,AAP,Political Leader,BhagwantMann,2
2721,pa,AAP,Political Leader,BhagwantMann,0
2748,pa,AAP,Political Leader,BhagwantMann,0
2620,pa,AAP,Political Leader,BhagwantMann,0
2492,en,SP,Politician,imashumalik,0
2364,pa,BJP,Politician,AmitShah,0
2236,hi,SP,Political Leader,yadavakhilesh,2
2367,mr,BJP,Politician,AmitShah,0
2465,other,AIMIM,Political Leader,asadowaisi,2
2337,pa,BJP,Politician,AmitShah,2
2623,pa,AAP,Political Leader,BhagwantMann,0
64,hi,AAP,Party Handle,AamAadmiParty,2
2590,pa,AAP,Political Leader,BhagwantMann,0
2718,pa,AAP,Political Leader,BhagwantMann,2
2750,pa,AAP,Political Leader,BhagwantMann,0
2622,pa,AAP,Political Leader,BhagwantMann,0
2494,en,SP,Politician,imashumalik,0
2366,other,BJP,Politician,AmitShah,2
2209,hi,AAP,Politician,ColAjayKothiyal,0
2751,pa,AAP,Political Leader,BhagwantMann,0
2735,pa,AAP,Political Leader,BhagwantMann,0
2478,hi,AIMIM,Political Leader,asadowaisi,0
2350,bn,BJP,Politician,AmitShah,0
2729,pa,AAP,Political Leader,BhagwantMann,0
2222,en,INC,Politician,AjayLalluINC,0
2607,pa,AAP,Political Leader,BhagwantMann,0
2479,other,AIMIM,Political Leader,asadowaisi,2
41,mr,AAP,Party Handle,AamAadmiParty,0
2351,bn,BJP,Politician,AmitShah,2
2216,hi,INC,Politician,AjayLalluINC,0
2223,hi,INC,Politician,AjayLalluINC,0
2601,pa,AAP,Political Leader,BhagwantMann,0
2606,pa,AAP,Political Leader,BhagwantMann,2
2734,pa,AAP,Political Leader,BhagwantMann,0
2473,en,AIMIM,Political Leader,asadowaisi,0
2609,pa,AAP,Political Leader,BhagwantMann,0
2481,other,AIMIM,Political Leader,asadowaisi,0
2353,bn,BJP,Politician,AmitShah,2
2225,other,INC,Politician,AjayLalluINC,0
40,mr,AAP,Party Handle,AamAadmiParty,0
48,hi,AAP,Party Handle,AamAadmiParty,0
168,pa,BJP,Party Handle,BJP4India,0
2217,hi,INC,Politician,AjayLalluINC,0
2345,gu,BJP,Politician,AmitShah,1
2344,en,BJP,Politician,AmitShah,0
2219,hi,INC,Politician,AjayLalluINC,0
2221,hi,INC,Politician,AjayLalluINC,0
2347,pa,BJP,Politician,AmitShah,0
2475,en,AIMIM,Political Leader,asadowaisi,0
2603,pa,AAP,Political Leader,BhagwantMann,2
2731,pa,AAP,Political Leader,BhagwantMann,0
2730,pa,AAP,Political Leader,BhagwantMann,2
2602,pa,AAP,Political Leader,BhagwantMann,2
2474,en,AIMIM,Political Leader,asadowaisi,0
2346,gu,BJP,Politician,AmitShah,0
2218,hi,INC,Politician,AjayLalluINC,0
2349,bn,BJP,Politician,AmitShah,2
2477,en,AIMIM,Political Leader,asadowaisi,2
2605,pa,AAP,Political Leader,BhagwantMann,0
2472,en,AIMIM,Political Leader,asadowaisi,0
